time,ch1,ch2
0,0,-0.002
5.00E-08,0,0.002
1.00E-07,0,0.002
1.50E-07,0,0
2.00E-07,0,-0.004
2.50E-07,0,-0.004
3.00E-07,0,0
3.50E-07,0,-0.006
4.00E-07,0,-0.006
4.50E-07,0,-0.004
5.00E-07,0,0.002
5.50E-07,0,0.004
6.00E-07,0,0.002
6.50E-07,0,0
7.00E-07,0,0
7.50E-07,0,0
8.00E-07,0,-0.002
8.50E-07,0,-0.004
9.00E-07,0,-0.002
9.50E-07,0,-0.004
1.00E-06,0,0
1.05E-06,0,0.004
1.10E-06,0,0.002
1.15E-06,0,0
1.20E-06,0,-0.002
1.25E-06,0,-0.004
1.30E-06,0,0
1.35E-06,0,0
1.40E-06,0,-0.004
1.45E-06,0,0
1.50E-06,0,0
1.55E-06,0,0
1.60E-06,0,0
1.65E-06,0,0
1.70E-06,0,-0.004
1.75E-06,0,-0.002
1.80E-06,0,0
1.85E-06,0,0.002
1.90E-06,0,0
1.95E-06,0,0
2.00E-06,0,-0.004
2.05E-06,0,0
2.10E-06,0,0.004
2.15E-06,0,0
2.20E-06,0,0
2.25E-06,0,-0.004
2.30E-06,0,-0.002
2.35E-06,0,-0.002
2.40E-06,0,0
2.45E-06,0,0.002
2.50E-06,0,0.002
2.55E-06,0,-0.002
2.60E-06,0.04,-0.004
2.65E-06,0,0
2.70E-06,0,0
2.75E-06,0,-0.002
2.80E-06,0,-0.006
2.85E-06,0,0.002
2.90E-06,0,0.002
2.95E-06,0,0.002
3.00E-06,0,-0.004
3.05E-06,0,-0.002
3.10E-06,0,0
3.15E-06,0,0
3.20E-06,0,0
3.25E-06,0,0.002
3.30E-06,0,0.002
3.35E-06,0,0
3.40E-06,0,0
3.45E-06,0,0
3.50E-06,0,0
3.55E-06,0,-0.004
3.60E-06,0,-0.004
3.65E-06,0,0
3.70E-06,0,0.002
3.75E-06,0,0.004
3.80E-06,0,-0.004
3.85E-06,0,0
3.90E-06,0,-0.004
3.95E-06,0,0
4.00E-06,0,-0.004
4.05E-06,0,0
4.10E-06,0,0
4.15E-06,0.04,-0.004
4.20E-06,0,0.002
4.25E-06,0,0.002
4.30E-06,0,0
4.35E-06,0,0
4.40E-06,0,-0.002
4.45E-06,0,-0.004
4.50E-06,0,0.002
4.55E-06,0,0
4.60E-06,0,0
4.65E-06,0,0.004
4.70E-06,0,0
4.75E-06,0,-0.006
4.80E-06,0,-0.01
4.85E-06,0,0.02
4.90E-06,0,-0.014
4.95E-06,0,-0.006
5.00E-06,0,0.01
5.05E-06,0,-0.012
5.10E-06,0,0.008
5.15E-06,0,0.004
5.20E-06,0,-0.012
5.25E-06,0,0.002
5.30E-06,0,0.008
5.35E-06,0,-0.004
5.40E-06,0,-0.004
5.45E-06,0,-0.006
5.50E-06,0,0
5.55E-06,0,0.006
5.60E-06,0,0
5.65E-06,0,-0.002
5.70E-06,0,-0.002
5.75E-06,0,0
5.80E-06,0,0.002
5.85E-06,0,-0.002
5.90E-06,0,-0.004
5.95E-06,0,-0.004
6.00E-06,0,0
6.05E-06,0,0
6.10E-06,0,0
6.15E-06,0,0
6.20E-06,0,-0.004
6.25E-06,0,0.002
6.30E-06,0,-0.004
6.35E-06,0,-0.008
6.40E-06,0,0.002
6.45E-06,0,0
6.50E-06,0,0
6.55E-06,0,0.002
6.60E-06,0,-0.008
6.65E-06,0,0.002
6.70E-06,0,0
6.75E-06,0,-0.004
6.80E-06,0,-0.004
6.85E-06,0,0
6.90E-06,0,0
6.95E-06,0,0.002
7.00E-06,0,-0.004
7.05E-06,0,-0.002
7.10E-06,0,0
7.15E-06,0,-0.002
7.20E-06,0,0.002
7.25E-06,0,-0.014
7.30E-06,0,0.008
7.35E-06,0,-0.014
7.40E-06,0,0.028
7.45E-06,0,-0.024
7.50E-06,0,-0.002
7.55E-06,0,0.01
7.60E-06,0,-0.014
7.65E-06,0,0.01
7.70E-06,0,0
7.75E-06,0,-0.002
7.80E-06,0,-0.006
7.85E-06,0,0.008
7.90E-06,0,-0.006
7.95E-06,0,-0.006
8.00E-06,0,-0.004
8.05E-06,0,0.008
8.10E-06,0,0.002
8.15E-06,0,-0.008
8.20E-06,0,0
8.25E-06,0,0.002
8.30E-06,0,0.006
8.35E-06,0,0.002
8.40E-06,0,-0.004
8.45E-06,0,-0.006
8.50E-06,0,0
8.55E-06,0,0.004
8.60E-06,0,0
8.65E-06,0,-0.006
8.70E-06,0,0
8.75E-06,0,0.002
8.80E-06,0,0.004
8.85E-06,0,-0.002
8.90E-06,0,0
8.95E-06,0,-0.006
9.00E-06,0,0
9.05E-06,0,-0.002
9.10E-06,0,0.002
9.15E-06,0,-0.002
9.20E-06,0,0.002
9.25E-06,0,0.004
9.30E-06,0,0
9.35E-06,0.04,-0.006
9.40E-06,0,-0.006
9.45E-06,0,-0.004
9.50E-06,0,-0.004
9.55E-06,0,0.002
9.60E-06,0,0.002
9.65E-06,0,0.004
9.70E-06,0.04,0.002
9.75E-06,0,-0.006
9.80E-06,0,-0.004
9.85E-06,0,-0.006
9.90E-06,0,0.002
9.95E-06,0,-0.006
1.00E-05,0,0
1.01E-05,0,0
1.01E-05,0,0.008
1.02E-05,0,0.002
1.02E-05,0,-0.004
1.03E-05,0,0
1.03E-05,0,-0.004
1.04E-05,0,-0.002
1.04E-05,0,-0.004
1.05E-05,0,0.002
