time,ch1,ch2
0,-0.04,0.004
5.00E-08,0,0
1.00E-07,-0.04,0.0052
1.50E-07,0,8.00E-04
2.00E-07,-0.04,0.0028
2.50E-07,-0.04,0.0024
3.00E-07,-0.08,4.00E-04
3.50E-07,-0.04,4.00E-04
4.00E-07,0,0.0016
4.50E-07,-0.04,0.0032
5.00E-07,-0.04,0.004
5.50E-07,-0.04,0
6.00E-07,0,0.0016
6.50E-07,-0.04,0.0072
7.00E-07,-0.04,-0.0076
7.50E-07,-0.04,0.0104
8.00E-07,-0.04,0
8.50E-07,-0.04,0.0052
9.00E-07,-0.04,4.00E-04
9.50E-07,0,-0.0028
1.00E-06,-0.08,0.0088
1.05E-06,0,-0.0032
1.10E-06,-0.04,-0.0056
1.15E-06,-0.04,0.0128
1.20E-06,-0.04,-0.006
1.25E-06,-0.04,0.002
1.30E-06,0,-0.0136
1.35E-06,-0.04,0.0056
1.40E-06,-0.04,0.0116
1.45E-06,-0.04,-0.0024
1.50E-06,0,0.0056
1.55E-06,-0.04,-0.0096
1.60E-06,-0.04,0.0144
1.65E-06,0,-0.004
1.70E-06,-0.08,0.0068
1.75E-06,-0.04,-0.0064
1.80E-06,0,0.006
1.85E-06,-0.04,0.0068
1.90E-06,0,-0.0016
1.95E-06,-0.04,0.0036
2.00E-06,-0.04,-0.0016
2.05E-06,-0.04,0.0132
2.10E-06,0,-0.002
2.15E-06,-0.04,0.0048
2.20E-06,0,-8.00E-04
2.25E-06,-0.08,0.0064
2.30E-06,-0.04,0.004
2.35E-06,-0.04,0.0016
2.40E-06,-0.08,0.0052
2.45E-06,-0.04,0.0028
2.50E-06,0,0.0056
2.55E-06,0,-8.00E-04
2.60E-06,-0.04,0.004
2.65E-06,-0.04,0.0024
2.70E-06,-0.04,0.0052
2.75E-06,-0.04,4.00E-04
2.80E-06,-0.04,0.002
2.85E-06,0,0.0044
2.90E-06,-0.04,0.0036
2.95E-06,-0.04,0.008
3.00E-06,-0.04,-0.0024
3.05E-06,-0.04,-0.0044
3.10E-06,0,0.0024
3.15E-06,-0.04,0.0048
3.20E-06,-0.04,0.004
3.25E-06,-0.04,-0.002
3.30E-06,0,0.0032
3.35E-06,0,0.002
3.40E-06,-0.08,0.0048
3.45E-06,-0.04,8.00E-04
3.50E-06,-0.04,-0.002
3.55E-06,-0.04,8.00E-04
3.60E-06,0,0.0016
3.65E-06,0,0.0068
3.70E-06,-0.04,4.00E-04
3.75E-06,0,0.0028
3.80E-06,-0.08,8.00E-04
3.85E-06,-0.04,0.0068
3.90E-06,-0.04,8.00E-04
3.95E-06,-0.04,-0.0024
4.00E-06,-0.04,4.00E-04
4.05E-06,0,0.0024
4.10E-06,-0.04,0.0064
4.15E-06,-0.04,-8.00E-04
4.20E-06,-0.04,0.0016
4.25E-06,-0.04,0.0048
4.30E-06,-0.04,0.0052
4.35E-06,-0.04,4.00E-04
4.40E-06,-0.04,-8.00E-04
4.45E-06,0,0.0016
4.50E-06,-0.08,0.0032
4.55E-06,-0.04,0
4.60E-06,0,4.00E-04
4.65E-06,-0.04,0.002
4.70E-06,-0.08,0.0032
4.75E-06,-0.04,-0.0016
4.80E-06,0,0.0048
4.85E-06,-0.04,0.0036
4.90E-06,-0.04,0
4.95E-06,0,-0.0012
5.00E-06,-0.04,0.0032
5.05E-06,0,0.0028
5.10E-06,-0.04,0
5.15E-06,-0.04,0.0028
5.20E-06,-0.04,0.0024
5.25E-06,-0.04,0.0052
5.30E-06,-0.04,0.002
5.35E-06,-0.04,0.002
5.40E-06,-0.04,8.00E-04
5.45E-06,0,0.0052
5.50E-06,-0.04,0.0028
5.55E-06,-0.04,8.00E-04
5.60E-06,-0.04,8.00E-04
5.65E-06,0,0.004
5.70E-06,-0.04,0.0032
5.75E-06,-0.04,0.0024
5.80E-06,-0.04,0.002
5.85E-06,0,0.004
5.90E-06,-0.04,0.004
5.95E-06,-0.04,0.0024
6.00E-06,-0.04,0.0012
6.05E-06,-0.04,0.0032
6.10E-06,-0.04,0.0012
6.15E-06,-0.04,0.0036
6.20E-06,-0.04,0.0032
6.25E-06,-0.04,0.0016
6.30E-06,-0.04,0.004
6.35E-06,-0.04,8.00E-04
6.40E-06,-0.04,0.0024
6.45E-06,-0.04,0.0032
6.50E-06,-0.04,0.0036
6.55E-06,-0.04,-4.00E-04
6.60E-06,-0.04,0
6.65E-06,-0.04,0.0048
6.70E-06,0,0.0016
6.75E-06,0,0.0024
6.80E-06,-0.08,0
6.85E-06,-0.04,0.0032
6.90E-06,0,0.0048
6.95E-06,-0.04,0.0016
7.00E-06,-0.04,0.002
7.05E-06,0,0.0036
7.10E-06,0,0.0024
7.15E-06,-0.04,4.00E-04
7.20E-06,-0.04,0
7.25E-06,-0.04,0.0044
7.30E-06,-0.04,0.004
7.35E-06,-0.04,0.0016
7.40E-06,0,-4.00E-04
7.45E-06,-0.04,0.004
7.50E-06,-0.04,-0.0044
7.55E-06,0,0.008
7.60E-06,-0.04,-0.0076
7.65E-06,-0.04,0.01
7.70E-06,-0.04,-0.0012
7.75E-06,-0.04,0.0048
7.80E-06,-0.04,-0.0016
7.85E-06,0,0.0028
7.90E-06,-0.04,0.0032
7.95E-06,-0.04,0
8.00E-06,0,0.0052
8.05E-06,0,-0.0016
8.10E-06,0,0.0064
8.15E-06,-0.04,-0.0012
8.20E-06,-0.04,0.0036
8.25E-06,0,0.004
8.30E-06,-0.04,0.0016
8.35E-06,-0.04,8.00E-04
8.40E-06,0,0
8.45E-06,-0.04,0.0032
8.50E-06,-0.04,0.002
8.55E-06,0,0
8.60E-06,-0.04,8.00E-04
8.65E-06,-0.04,0.0052
8.70E-06,-0.04,0.0032
8.75E-06,-0.04,8.00E-04
8.80E-06,-0.08,0
8.85E-06,-0.04,0.0036
8.90E-06,-0.04,0.0036
8.95E-06,-0.04,-8.00E-04
9.00E-06,-0.04,8.00E-04
9.05E-06,-0.04,0.0016
9.10E-06,-0.04,0.004
9.15E-06,-0.04,0.002
9.20E-06,-0.04,0
9.25E-06,0,0.0072
9.30E-06,-0.04,4.00E-04
9.35E-06,0,0.0036
9.40E-06,-0.04,-0.006
9.45E-06,-0.04,0.0196
9.50E-06,-0.08,-0.008
9.55E-06,0,0.004
9.60E-06,-0.04,-0.0064
9.65E-06,0,0.0028
9.70E-06,-0.08,0.0112
9.75E-06,-0.04,-0.0116
9.80E-06,-0.04,0.012
9.85E-06,-0.04,-0.0092
9.90E-06,-0.04,0.0192
9.95E-06,-0.04,-0.0104
1.00E-05,0,0.0084
1.01E-05,-0.04,-0.0032
1.01E-05,-0.04,0.004
1.02E-05,0,0.0064
1.02E-05,-0.04,-0.0048
1.03E-05,0,0.0092
1.03E-05,-0.04,-0.0076
1.04E-05,0,0.0112
1.04E-05,-0.04,-0.004
1.05E-05,-0.04,0.0084
1.05E-05,-0.04,-0.0016
1.06E-05,-0.04,4.00E-04
1.06E-05,-0.04,0.0052
1.07E-05,-0.04,0.0036
1.07E-05,0,0.008
1.08E-05,-0.04,-0.0028
1.08E-05,-0.04,0.0048
1.09E-05,0,8.00E-04
1.09E-05,-0.04,0.0056
1.10E-05,-0.04,0.0016
1.10E-05,-0.04,-0.0012
1.11E-05,0,0.0032
1.11E-05,-0.04,0.0032
1.12E-05,-0.04,0.01
1.12E-05,-0.04,0.0032
1.13E-05,-0.04,0.004
1.13E-05,-0.04,-0.0056
1.14E-05,-0.04,0.002
1.14E-05,-0.04,0.004
1.15E-05,-0.04,0.0096
1.15E-05,-0.04,-0.0016
1.16E-05,0,0.002
1.16E-05,-0.04,0.0052
1.17E-05,-0.04,0.002
1.17E-05,0,-4.00E-04
1.18E-05,-0.04,-0.0024
1.18E-05,0,0.0048
1.19E-05,-0.04,0.0072
1.19E-05,-0.04,0.0068
1.20E-05,-0.04,-0.0016
1.20E-05,-0.04,-0.0048
1.21E-05,-0.04,0.0032
1.21E-05,-0.04,0.0048
1.22E-05,-0.04,0.004
1.22E-05,-0.04,-0.0048
1.23E-05,-0.04,0.0028
1.23E-05,-0.04,0.002
1.24E-05,-0.04,0.0024
1.24E-05,-0.04,-8.00E-04
1.25E-05,0,0.0048
1.25E-05,-0.04,0.004
1.26E-05,-0.04,0.004
1.26E-05,-0.04,-0.0028
1.27E-05,-0.04,0.0016
1.27E-05,0,-0.0012
1.28E-05,-0.04,8.00E-04
1.28E-05,-0.04,0.0044
1.29E-05,-0.04,8.00E-04
1.29E-05,0,0.0072
1.30E-05,-0.04,0.0016
1.30E-05,0,0.002
1.31E-05,-0.04,0.0016
1.31E-05,-0.04,4.00E-04
1.32E-05,-0.04,0.0012
1.32E-05,-0.04,-0.0016
1.33E-05,0,0.0064
1.33E-05,-0.04,0
1.34E-05,0,-0.0012
1.34E-05,-0.04,0.0032
1.35E-05,-0.04,0.0084
1.35E-05,0,0.004
1.36E-05,-0.04,-0.0036
1.36E-05,-0.04,-4.00E-04
1.37E-05,-0.04,0.0048
1.37E-05,0,0.004
1.38E-05,-0.04,0.002
1.38E-05,0,8.00E-04
1.39E-05,-0.04,0.0028
1.39E-05,0,-0.0072
1.40E-05,-0.04,-8.00E-04
1.40E-05,-0.04,0.0056
1.41E-05,-0.04,0.0044
1.41E-05,-0.08,0.002
1.42E-05,-0.04,0.0032
1.42E-05,-0.04,0.0084
1.43E-05,0,8.00E-04
1.43E-05,-0.04,-0.0056
1.44E-05,-0.04,0.0032
1.44E-05,0,0.0048
1.45E-05,-0.04,0.0024
1.45E-05,-0.04,-0.006
1.46E-05,0,-8.00E-04
1.46E-05,-0.04,0.01
1.47E-05,-0.04,0.0084
1.47E-05,-0.04,-0.0032
1.48E-05,-0.04,-0.0024
1.48E-05,-0.04,0.0056
1.49E-05,0,0.0096
1.49E-05,-0.04,-0.0012
1.50E-05,0,-0.0064
1.50E-05,-0.04,-0.0012
1.51E-05,-0.04,0.012
1.51E-05,-0.04,0.012
1.52E-05,0,-8.00E-04
1.52E-05,-0.04,-0.0084
1.53E-05,0,4.00E-04
1.53E-05,-0.04,0.0172
1.54E-05,0,0.0104
1.54E-05,-0.04,-0.0072
1.55E-05,-0.04,-0.0104
1.55E-05,-0.08,0.0044
1.56E-05,-0.04,0.0116
1.56E-05,0,0.0068
1.57E-05,-0.04,0.0024
1.57E-05,-0.04,-8.00E-04
1.58E-05,-0.04,-8.00E-04
1.58E-05,-0.04,0.0052
1.59E-05,-0.04,0.0056
1.59E-05,-0.04,0.0048
1.60E-05,-0.04,-0.0112
1.60E-05,-0.04,0.004
1.61E-05,0,-4.00E-04
1.61E-05,-0.04,0.0116
1.62E-05,-0.04,0.002
1.62E-05,-0.04,0.0032
1.63E-05,0,0.002
1.63E-05,-0.04,4.00E-04
1.64E-05,-0.04,0.0056
1.64E-05,-0.04,4.00E-04
1.65E-05,-0.04,0.0052
1.65E-05,0,-0.0048
1.66E-05,-0.04,0.0036
1.66E-05,0,0.0016
1.67E-05,-0.04,0.0076
1.67E-05,-0.04,0.0032
1.68E-05,-0.04,-0.0016
1.68E-05,-0.04,4.00E-04
1.69E-05,0,0.002
1.69E-05,-0.04,0.0064
1.70E-05,-0.04,-4.00E-04
1.70E-05,-0.04,8.00E-04
1.71E-05,0,-0.0012
1.71E-05,-0.08,0.0024
1.72E-05,0,0.002
1.72E-05,-0.04,-0.0024
1.73E-05,-0.04,4.00E-04
1.73E-05,-0.04,0.0032
1.74E-05,-0.04,0.0052
1.74E-05,0,0.0032
1.75E-05,-0.04,0.0064
1.75E-05,-0.04,0.0016
1.76E-05,0,-0.0012
1.76E-05,-0.04,0.002
1.77E-05,-0.04,0.002
1.77E-05,-0.04,0.0068
1.78E-05,-0.04,-0.004
1.78E-05,0,4.00E-04
1.79E-05,-0.04,-0.0028
1.79E-05,0,0.0144
1.80E-05,-0.04,-0.0056
1.80E-05,-0.04,8.00E-04
1.81E-05,-0.04,0.012
1.81E-05,0,-0.0064
1.82E-05,-0.04,0.0148
1.82E-05,-0.04,-0.02
1.83E-05,-0.04,0.0168
1.83E-05,-0.04,-0.0092
1.84E-05,-0.04,0.018
1.84E-05,-0.04,-0.008
1.85E-05,-0.04,0.014
1.85E-05,-0.04,-0.0032
1.86E-05,-0.04,-0.0088
1.86E-05,-0.04,0.018
1.87E-05,-0.04,-0.0024
1.87E-05,-0.04,0.016
1.88E-05,-0.04,-0.0224
1.88E-05,0,0.0196
1.89E-05,-0.08,-0.0092
1.89E-05,-0.04,0.0144
1.90E-05,-0.04,-0.0092
1.90E-05,-0.04,0.0132
1.91E-05,0,0.0152
1.91E-05,-0.08,-8.00E-04
1.92E-05,0,-0.0028
1.92E-05,-0.04,-0.0148
1.93E-05,-0.04,0.0176
1.93E-05,-0.04,-8.00E-04
1.94E-05,0,0.008
1.94E-05,-0.04,-0.0088
1.95E-05,-0.04,0.0096
1.95E-05,0,0.0024
1.96E-05,-0.04,-0.0016
1.96E-05,-0.04,-0.002
1.97E-05,0,-8.00E-04
1.97E-05,-0.04,0.0096
1.98E-05,-0.04,-0.0028
1.98E-05,0,4.00E-04
1.99E-05,-0.04,-0.0032
1.99E-05,-0.04,0.0072
