time,ch1,ch2
0,0,0.004001
5.00000000000012e-08,0,0.004001
1.00000000000002e-07,0,-0.012001
1.50000000000004e-07,0,-0.012001
1.99999999999998e-07,0,-0.032001
2.49999999999999e-07,0.040001,-0.028001
3.00000000000001e-07,0,-0.044001
3.50000000000002e-07,0,-0.036001
4.00000000000003e-07,0,-0.056001
4.50000000000004e-07,0,-0.064001
4.99999999999999e-07,0,-0.072001
5.5e-07,0,-0.072001
6.00000000000001e-07,0,-0.076001
6.50000000000002e-07,0,-0.080001
7.00000000000003e-07,0.040001,-0.080001
7.49999999999998e-07,0,-0.080001
7.99999999999999e-07,0,-0.080001
8.5e-07,0,-0.076001
9.00000000000002e-07,0,-0.068001
9.50000000000003e-07,0,-0.064001
1e-06,0,-0.060001
1.05e-06,0,-0.048001
1.1e-06,0,-0.044001
1.15e-06,0.040001,-0.032001
1.2e-06,0,-0.024001
1.25e-06,0,-0.012001
1.3e-06,0,-0.008001
1.35e-06,0,0.004001
1.4e-06,0,0.016001
1.45e-06,0,0.016001
1.5e-06,0,0.024001
1.55e-06,0,0.020001
1.6e-06,0,0.028001
1.65e-06,0,0.020001
1.7e-06,0,0.032001
1.75e-06,0,0.024001
1.8e-06,0.040001,0.024001
1.85e-06,0,0.024001
1.9e-06,0,0.024001
1.95e-06,0,0.020001
2e-06,0,0.008001
2.05e-06,0,0.016001
2.1e-06,0,0.004001
2.15e-06,0,0.008001
2.2e-06,0,0.004001
2.25e-06,0,0.008001
2.3e-06,0,0.004001
2.35e-06,0,0.004001
2.4e-06,0,0.008001
2.45e-06,0,0.008001
2.5e-06,0,0.012001
2.55e-06,0,0.016001
2.6e-06,0,0.020001
2.65e-06,0,0.020001
2.7e-06,0,0.028001
2.75e-06,0,0.032001
2.8e-06,0.040001,0.028001
2.85e-06,0,0.024001
2.9e-06,0,0.032001
2.95e-06,0,0.032001
3e-06,0,0.032001
3.05e-06,0,0.032001
3.1e-06,0,0.032001
3.15e-06,0,0.032001
3.2e-06,0,0.024001
3.25e-06,0,0.024001
3.3e-06,0,0.020001
3.35e-06,0,0.016001
3.4e-06,0,0.016001
3.45e-06,0,0.008001
3.5e-06,0,0.004001
3.55e-06,0,0.004001
3.6e-06,0,-0.004001
3.65e-06,0,-0.008001
3.7e-06,0,-0.012001
3.75e-06,0,-0.020001
3.8e-06,0.040001,-0.016001
